// Start Time: Unknown
// Update Rate: Various
// Filter Profile: general (39.15)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 1.10.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
11578	15129245	0.089818	-0.043380	9.848614	-0.009081	0.012326	0.010224				-1.033746	-0.110124	35.657435
11582	15129270	0.095770	-0.049929	9.843188	0.011694	-0.006531	-0.024910	0.264722	-0.265622	-1.024382	-1.032065	-0.111124	35.653889
11585	15129295	0.099534	-0.057965	9.847363	0.001614	0.006600	-0.011545				-1.031830	-0.110208	35.652214
11589	15129320	0.095977	-0.063574	9.825397	-0.003129	0.002091	0.002985				-1.030865	-0.114183	35.651647
11592	15129345	0.100988	-0.044535	9.813042	-0.000018	0.003196	-0.007167				-1.030865	-0.113744	35.650614
11596	15129370	0.090449	-0.067289	9.844582	0.016323	0.005493	0.017360	0.263781	-0.265603	-1.023891	-1.028532	-0.112913	35.653089
11599	15129395	0.078204	-0.054538	9.812922	-0.010616	0.004466	0.006092				-1.030054	-0.112257	35.653949
11603	15129420	0.091649	-0.048688	9.818472	0.003760	0.005555	-0.001231				-1.024255	-0.113260	35.651217
11606	15129445	0.092783	-0.041986	9.829428	-0.000992	0.005727	0.001347				-1.024397	-0.112436	35.651394
11610	15129470	0.109455	-0.061846	9.835094	0.007272	-0.004853	0.023012	0.264315	-0.267084	-1.022934	-1.023362	-0.113073	35.654699
11613	15129495	0.086018	-0.056971	9.840400	-0.001542	0.031918	-0.005448				-1.023582	-0.108515	35.653843
11617	15129520	0.072313	-0.038242	9.836143	-0.005126	-0.000001	-0.005729				-1.022114	-0.114489	35.654797
11620	15129545	0.073525	-0.035731	9.833391	-0.009638	0.016628	-0.000460				-1.023494	-0.112109	35.654682
11624	15129570	0.100903	-0.041909	9.832230	-0.006516	0.011206	0.006795	0.264836	-0.267086	-1.021447	-1.024429	-0.110486	35.655626
11627	15129595	0.079582	-0.058386	9.817052	-0.004610	0.000186	-0.014922				-1.025086	-0.110498	35.653493
11631	15129620	0.081967	-0.046183	9.833482	0.003035	0.011979	-0.006208				-1.020707	-0.106285	35.653839
11634	15129645	0.098092	-0.048747	9.828119	-0.007118	0.024475	-0.000358				-1.021727	-0.102781	35.653728
11638	15129670	0.091545	-0.031489	9.822537	-0.017667	-0.009899	0.002962	0.263832	-0.267571	-1.023443	-1.024258	-0.104191	35.654173
11641	15129695	0.084403	-0.036485	9.837588	0.016049	0.006394	0.009240				-1.021961	-0.103252	35.655481
11645	15129720	0.076700	-0.061138	9.836241	-0.006916	0.017731	-0.010674				-1.022397	-0.103746	35.650495
11648	15129745	0.081007	-0.056900	9.838995	-0.003682	-0.012788	0.000620				-1.022924	-0.105576	35.650609
11652	15129770	0.071201	-0.041060	9.819675	0.005382	0.002787	-0.004783	0.262410	-0.266557	-1.022437	-1.022152	-0.105189	35.649919
11655	15129795	0.093934	-0.039147	9.843143	0.002946	0.003766	-0.001478				-1.021730	-0.104653	35.649698
11659	15129820	0.068393	-0.046440	9.845738	-0.013733	-0.001517	-0.010510				-1.018314	-0.106549	35.649700
11662	15129845	0.088818	-0.049033	9.841768	-0.014086	-0.001305	0.007741				-1.020333	-0.106716	35.650801
11666	15129870	0.074844	-0.031384	9.851222	-0.008348	-0.001156	-0.001495	0.264847	-0.266096	-1.020434	-1.021529	-0.106885	35.650589
11669	15129895	0.088955	-0.043449	9.810205	0.003412	0.005125	-0.013119				-1.021036	-0.106185	35.648695
11673	15129920	0.120065	-0.045667	9.832367	-0.013837	-0.003740	-0.007890				-1.019579	-0.108961	35.649213
11676	15129945	0.076764	-0.054422	9.829367	-0.004332	0.000791	-0.009112				-1.020197	-0.108871	35.647919
