// Start Time: Unknown
// Update Rate: Various
// Filter Profile: general (39.15)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 1.10.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
41038	13450633	0.045852	0.036518	9.824908	-0.008667	-0.006302	-0.021462				-0.435208	0.073890	65.897728
41041	13450658	0.034892	0.034783	9.828951	-0.021930	-0.003381	-0.000276	0.266546	-0.253072	-0.970148	-0.438350	0.073406	65.897694
41045	13450683	0.062063	0.030052	9.830523	-0.012971	-0.005953	-0.012648				-0.440210	0.072539	65.895891
41048	13450708	0.057703	0.036971	9.837328	-0.013134	0.018941	0.003971				-0.438605	0.076230	65.897590
41052	13450733	0.028236	0.045751	9.802816	0.009869	-0.004700	-0.007614				-0.437193	0.075549	65.896500
41055	13450758	0.034913	0.014970	9.860563	-0.002068	-0.003745	-0.011578	0.267520	-0.254073	-0.970167	-0.437491	0.075000	65.894852
41059	13450783	0.025387	0.022758	9.850872	-0.010151	0.000162	-0.005449				-0.438946	0.075017	65.894066
41062	13450808	0.052220	0.043362	9.834519	-0.023793	0.004578	-0.003442				-0.439465	0.072858	65.892545
41066	13450833	0.055213	0.039617	9.826338	0.002345	-0.001988	0.004768				-0.439128	0.072578	65.893236
41069	13450858	0.079615	0.021069	9.830668	0.006641	0.018585	-0.013025	0.268012	-0.254079	-0.969669	-0.438179	0.075226	65.891345
41073	13450883	0.044174	0.047468	9.833096	0.006993	-0.001737	0.000842				-0.437177	0.074978	65.891466
41076	13450908	0.048975	0.012331	9.823630	-0.012128	-0.011799	0.014938				-0.438073	0.071642	65.892716
41080	13450933	0.048326	0.027298	9.824957	0.007808	0.014669	0.018437				-0.436951	0.073763	65.895333
41083	13450958	0.036286	0.033805	9.822112	0.002508	0.001726	-0.010082	0.268930	-0.253608	-0.970643	-0.436594	0.073999	65.893897
41087	13450983	0.066153	0.014078	9.831962	-0.004470	0.017522	-0.014915				-0.437237	0.076493	65.891736
41090	13451008	0.077101	0.012856	9.832050	-0.005685	0.008377	-0.011122				-0.433112	0.073012	65.892373
41094	13451033	0.038286	0.020280	9.801583	-0.007181	-0.010514	0.008266				-0.434139	0.071515	65.893576
41097	13451058	0.040267	0.015137	9.838655	0.004506	0.014111	-0.002678	0.268886	-0.253615	-0.972127	-0.433494	0.073533	65.893172
41101	13451083	0.060839	0.016522	9.818210	-0.009941	0.010180	0.008146				-0.434916	0.075000	65.894324
41104	13451108	0.034263	0.000145	9.805751	0.006396	0.001597	-0.001177				-0.429926	0.074326	65.890808
41108	13451133	0.056905	0.008647	9.822329	0.004838	0.010422	0.005855				-0.429232	0.075825	65.891627
41111	13451158	0.041873	0.021869	9.826297	0.006290	0.000939	-0.006603	0.268422	-0.255086	-0.972659	-0.428332	0.075953	65.890685
41115	13451183	0.042886	0.016545	9.845532	0.010382	0.013556	0.000514				-0.426845	0.077895	65.890749
41118	13451208	0.073029	0.021051	9.810052	0.006063	0.020373	0.006354				-0.425592	0.078416	65.892737
41122	13451233	0.041818	0.028573	9.833134	0.003815	-0.003876	-0.001076				-0.425046	0.077860	65.892587
41125	13451258	0.030837	0.029819	9.846771	-0.001717	-0.005713	0.002317	0.268461	-0.254092	-0.970657	-0.425291	0.077044	65.892929
41129	13451283	0.020107	0.008157	9.835792	0.007661	0.012298	0.017831				-0.424190	0.078824	65.895466
41132	13451308	0.041610	0.033879	9.831744	0.004579	0.006531	-0.000505				-0.419855	0.077992	65.892903
41136	13451333	0.036366	0.025603	9.813900	-0.013947	0.006551	0.008370				-0.421851	0.078939	65.894093
41139	13451358	0.047287	0.024400	9.841412	-0.009835	-0.007160	-0.012462	0.269891	-0.253130	-0.970132	-0.423262	0.077900	65.892309
