// Start Time: Unknown
// Update Rate: Various
// Filter Profile: general (39.15)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 1.10.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
17613	11925515	0.131218	0.043447	9.829829	0.005603	-0.003195	-0.020029				-0.263360	-0.498931	29.834527
17617	11925540	0.118938	0.043259	9.828377	-0.003795	-0.001852	-0.006494				-0.263895	-0.499201	29.833591
17620	11925565	0.114799	0.033540	9.833862	-0.017160	0.020124	0.001281	0.283195	-0.257239	-0.958779	-0.266355	-0.496317	29.833756
17624	11925590	0.125719	0.055537	9.816037	0.000554	-0.003859	0.014625				-0.266293	-0.496860	29.835859
17627	11925615	0.134172	0.032511	9.820282	-0.012136	-0.005941	-0.006837				-0.266739	-0.497489	29.833342
17631	11925640	0.121925	0.035164	9.810582	-0.000639	0.010291	-0.004674				-0.266825	-0.496018	29.832659
17634	11925665	0.113388	0.055482	9.829669	0.011121	0.000715	0.010988	0.282732	-0.257229	-0.958287	-0.265246	-0.495908	29.834239
17638	11925690	0.120131	0.037957	9.829771	0.005682	0.019500	0.007205				-0.264440	-0.493111	29.835251
17641	11925715	0.117605	0.039133	9.839342	-0.007015	-0.005083	-0.006200				-0.263248	-0.498864	29.835457
17645	11925740	0.111833	0.038041	9.848915	0.009260	0.021593	-0.021878				-0.261894	-0.495785	29.832316
17648	11925765	0.113255	0.064601	9.818665	-0.009759	0.004309	-0.007629	0.282245	-0.256728	-0.958278	-0.263282	-0.495173	29.831216
17652	11925790	0.124231	0.043159	9.839378	-0.016102	0.008662	0.012119				-0.265604	-0.493924	29.832942
17655	11925815	0.133857	0.040599	9.827106	-0.021768	0.006755	0.014572				-0.262680	-0.493077	29.834304
17659	11925840	0.116428	0.036340	9.816034	-0.008419	0.000112	-0.009367				-0.263874	-0.493067	29.832970
17662	11925865	0.105372	0.044290	9.833766	-0.008231	-0.002618	-0.012714	0.282241	-0.255741	-0.957759	-0.265038	-0.493450	29.831151
17666	11925890	0.116274	0.033537	9.836607	-0.020149	0.011678	-0.014775				-0.267906	-0.491787	29.829023
17669	11925915	0.121687	0.050084	9.840712	-0.005274	-0.012563	-0.010006				-0.265169	-0.495686	29.831450
17673	11925940	0.113106	0.044535	9.857136	-0.002749	0.018588	-0.002410				-0.265560	-0.493025	29.831091
17676	11925965	0.095919	0.042976	9.843305	0.001106	-0.010020	0.010474	0.284630	-0.255782	-0.957748	-0.265414	-0.494453	29.832595
17680	11925990	0.113126	0.052364	9.847497	-0.025345	0.006692	0.000902				-0.269046	-0.493494	29.832718
17683	11926015	0.101457	0.029347	9.836510	-0.014351	0.007065	-0.020158				-0.267379	-0.493469	29.827553
17687	11926040	0.113231	0.049912	9.822832	-0.003792	0.014025	-0.009777				-0.267910	-0.491467	29.826146
17690	11926065	0.118852	0.057981	9.824208	-0.004618	-0.007959	0.008553	0.283669	-0.256260	-0.958259	-0.268582	-0.492601	29.827386
17694	11926090	0.119781	0.063192	9.835161	-0.017533	0.015889	0.015248				-0.271112	-0.490315	29.829560
17697	11926115	0.076961	0.040176	9.836329	0.007935	0.005619	0.007826				-0.268153	-0.492507	29.828683
17701	11926140	0.097973	0.017316	9.818717	0.005232	-0.014624	-0.012878				-0.267388	-0.494611	29.826835
17704	11926165	0.099127	0.011832	9.833823	-0.009696	-0.004305	-0.002168	0.281317	-0.258188	-0.958317	-0.268774	-0.495229	29.826527
